source_beam_id,beam_id,element_id,beam_type,beam_type_name,cluster,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
0,0,0000,0,column,16,0.0,1.586032693581355e-21,2.6064098099311756e-22,6.729001468968285e-35,0.0,1.8591703600439245e-34,0.0,2.737046989982279e-34,1.1577200618102293e-25,2.1701492328423527e-14,0.0,0.0,0.0,1.6640384071218463e-14,3.18938014015541e-18,0.0,1.0,0.0,2.795802938887037e-20,0.0,0.0,0.0,5.107680839150537e-14,0.0,3.023266404319185e-39,2.8690259396450877e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0000,0,column,16,0.0,1.586032693581355e-21,2.6064098099311756e-22,6.729001468968285e-35,0.0,1.8591703600439245e-34,0.0,2.737046989982279e-34,1.1577200618102293e-25,2.1701492328423527e-14,0.0,0.0,0.0,1.6640384071218463e-14,3.18938014015541e-18,0.0,1.0,0.0,2.795802938887037e-20,0.0,0.0,0.0,5.107680839150537e-14,0.0,3.023266404319185e-39,2.8690259396450877e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0000,0,column,16,0.0,1.586032693581355e-21,2.6064098099311756e-22,6.729001468968285e-35,0.0,1.8591703600439245e-34,0.0,2.737046989982279e-34,1.1577200618102293e-25,2.1701492328423527e-14,0.0,0.0,0.0,1.6640384071218463e-14,3.18938014015541e-18,0.0,1.0,0.0,2.795802938887037e-20,0.0,0.0,0.0,5.107680839150537e-14,0.0,3.023266404319185e-39,2.8690259396450877e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,0001,0,column,29,0.0,1.6618501162213128e-36,1.1616470830410134e-27,1.5671304115121097e-36,0.0,4.896038743458408e-40,0.0,6.324340229190764e-41,0.0,0.0,0.0,0.0,0.0,6.972928420806577e-38,4.6368824758016305e-30,0.0,3.6093083116031223e-37,0.0,9.668959403841238e-44,0.0,0.0,0.0,4.203895392974451e-45,0.0,1.0789998175301091e-43,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,0002,0,column,23,0.0,1.426305904980718e-14,1.0226404710557674e-31,0.0,0.0,8.290057348758376e-19,0.0,1.6530325023591107e-33,1.3049881626783628e-29,0.0,0.0,0.0,0.0,1.0747401845230166e-22,4.8266729009542624e-23,1.2671319492222883e-21,0.0,0.0,8.152233032082674e-18,0.0,6.067282140892386e-28,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3,0003,0,column,29,0.0,3.430445508387792e-35,1.01077240824034e-24,1.6629607517529735e-35,0.0,3.110882590801094e-43,0.0,2.382207389352189e-44,1.1210387714598537e-44,0.0,0.0,0.0,0.0,1.1143767183007606e-38,1.1698446320563466e-24,0.0,8.057466169867698e-43,1.6269075170811126e-42,8.848769883842365e-38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,4,0004,0,column,29,0.0,5.4504396357126555e-33,5.99966274054495e-28,2.306554087860221e-37,0.0,1.4623876336719366e-36,0.0,4.203895392974451e-44,4.203895392974451e-45,0.0,0.0,0.0,0.0,3.279853661787918e-35,2.2414530072311996e-24,0.0,9.073306663013759e-39,0.0,1.2425075262429218e-39,0.0,0.0,0.0,4.653718926255346e-37,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,5,0005,0,column,29,0.0,2.4111009113517344e-33,2.7110178758099953e-26,5.571842953848338e-41,0.0,4.637587458593732e-39,0.0,1.57085557850812e-42,0.0,0.0,0.0,0.0,0.0,9.381178886066305e-36,3.8809030809548497e-22,0.0,1.593511851000453e-34,0.0,1.728259651499873e-38,0.0,0.0,0.0,1.4422219398354082e-36,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6,0006,0,column,23,0.0,1.3988709497425589e-06,6.602646122277765e-22,0.0,0.0,8.225360090307124e-14,0.0,3.2447804392301565e-30,9.439329324831833e-29,0.0,0.0,0.0,0.0,1.7110101723688666e-20,2.3044453012488475e-09,2.2499163768932093e-17,0.0,0.0,3.896537481101704e-15,7.235123963957542e-36,9.006858771393634e-38,0.0,0.0,0.999998152256012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,7,0007,0,column,23,0.0,1.5114460145970472e-15,5.770963855956313e-28,0.0,0.0,1.648802306691903e-16,0.0,9.241796921938863e-29,2.4347002237401456e-23,0.0,0.0,0.0,0.0,2.007958787087996e-34,1.9498055829855617e-20,1.8374637298169044e-24,0.0,0.0,5.771195547639739e-24,3.142972325634132e-41,1.8121209466427467e-37,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
