source_beam_id,beam_id,element_id,beam_type,beam_type_name,cluster,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,p101,p102,p103,p104,p105,p106,p107,p108,p109,p110,p111,p112,p113,p114,p115,p116,p117,p118
0,0,0000,0,column,33,1.6971484433844727e-38,0.0,3.2432240004709456e-06,0.0,7.134622784286305e-35,5.409102108584719e-16,6.249913180174063e-33,0.0,1.0228477577295914e-30,0.0,3.8644526972716443e-26,0.0,1.6923187280973308e-39,0.0,4.75040179406113e-43,0.0,2.1492511071343142e-19,0.0,0.0,5.563154903369524e-43,3.105972517951725e-31,0.0,0.0,0.0,0.0,0.0,4.2047603375594093e-32,0.0,0.0,0.0,1.5601552634345356e-39,0.0,0.0,0.9999961853027344,4.1265493229375786e-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0000,0,column,33,1.6971484433844727e-38,0.0,3.2432240004709456e-06,0.0,7.134622784286305e-35,5.409102108584719e-16,6.249913180174063e-33,0.0,1.0228477577295914e-30,0.0,3.8644526972716443e-26,0.0,1.6923187280973308e-39,0.0,4.75040179406113e-43,0.0,2.1492511071343142e-19,0.0,0.0,5.563154903369524e-43,3.105972517951725e-31,0.0,0.0,0.0,0.0,0.0,4.2047603375594093e-32,0.0,0.0,0.0,1.5601552634345356e-39,0.0,0.0,0.9999961853027344,4.1265493229375786e-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0000,0,column,33,1.6971484433844727e-38,0.0,3.2432240004709456e-06,0.0,7.134622784286305e-35,5.409102108584719e-16,6.249913180174063e-33,0.0,1.0228477577295914e-30,0.0,3.8644526972716443e-26,0.0,1.6923187280973308e-39,0.0,4.75040179406113e-43,0.0,2.1492511071343142e-19,0.0,0.0,5.563154903369524e-43,3.105972517951725e-31,0.0,0.0,0.0,0.0,0.0,4.2047603375594093e-32,0.0,0.0,0.0,1.5601552634345356e-39,0.0,0.0,0.9999961853027344,4.1265493229375786e-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,0001,0,column,28,0.0,0.0,2.1829778138179713e-36,0.0,3.929888037691659e-29,3.0828566215145976e-43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1753423201600355e-41,0.0,7.20986030266453e-28,0.0,0.0,5.0536941292628096e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.401298464324817e-45,0.0,7.724699711440607e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,0002,0,column,35,1.380926114831569e-14,0.0,0.0,0.0,2.1320866946950012e-11,0.0,3.615350037958028e-43,0.0,0.0,0.0,0.0,0.0,1.0856282835603341e-19,0.0,7.34913311153934e-24,0.0,1.6715468716841248e-20,0.0,5.840996990924887e-35,0.0,3.90962271546624e-43,0.0,1.809308652728724e-38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4031934610894447e-34,0.0,3.4580834755706057e-16,0.0,4.123810343954103e-17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3,0003,0,column,28,6.65909641933332e-40,0.0,4.0890145882365114e-19,0.0,2.6236820372870873e-26,6.228071407803511e-31,0.0,0.0,0.0,0.0,0.0,0.0,8.088492038906621e-38,0.0,3.1809475140173348e-43,0.0,3.727552428681265e-19,0.0,0.0,6.748243174567804e-31,3.5235588228315095e-38,0.0,1.214113015460308e-40,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.044674471569341e-44,2.217714567818956e-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,4,0004,0,column,28,0.0,0.0,2.6522934707624577e-32,0.0,1.2867025110993444e-30,4.512181055125911e-43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2401491409274631e-42,0.0,3.1718229617262807e-26,0.0,0.0,2.7589343194915697e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.565747305528525e-40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,5,0005,0,column,28,0.0,0.0,1.1611905418167921e-35,0.0,7.961249351922571e-28,2.802596928649634e-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.922581493053649e-41,0.0,6.341230492497495e-22,0.0,0.0,4.9170991982157965e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.132601578154515e-37,3.90962271546624e-43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6,0006,0,column,35,5.399644625739622e-14,0.0,0.0,0.0,5.698467414085029e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.951784176617886e-27,0.0,4.070196307297333e-28,0.0,1.337024566581968e-16,0.0,7.503546899904741e-40,0.0,0.0,0.0,7.236795724235869e-39,0.0,0.0,0.0,5.983544442666969e-43,3.749693362511927e-38,0.0,0.0,2.4774098129976503e-33,0.0,1.9234299228890932e-15,0.0,1.4353785673058526e-20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,7,0007,0,column,35,6.165446530355339e-18,0.0,0.0,0.0,5.33052868541945e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9415748511044767e-27,0.0,3.559569590020587e-27,0.0,8.655722981692676e-18,0.0,2.0859112368614924e-39,0.0,0.0,0.0,2.3676020478221015e-37,0.0,0.0,0.0,1.4433374182545616e-43,1.4237192397540141e-42,0.0,0.0,5.4890528056464e-36,0.0,2.4882313781353572e-21,0.0,2.68161412094782e-24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
