beam_id,start,end,cluster,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16
0,0,1,7,2.1357055e-22,6.3201805e-12,0.0,1.4070163e-10,2.010921e-08,5.056754e-13,3.3868379e-18,1.0,2.0524372e-16,1.0248375e-19,2.6831454e-19,1.7511812e-09,1.2910193e-15,2.8127857e-16,9.089014e-21,1.2932009e-18,4.96622e-19
1,1,2,7,3.037786e-24,5.1462063e-15,0.0,1.120759e-15,1.0590945e-09,3.6388823e-13,2.6512299e-18,1.0,9.179207e-17,2.5777473e-20,2.2940537e-26,4.5635936e-11,6.9244957e-17,5.0515023e-16,9.99598e-19,3.883486e-19,4.8456454e-20
2,2,663,7,1.06753434e-26,7.0804055e-18,0.0,1.9474829e-16,7.6841804e-11,1.846283e-15,1.4175273e-17,1.0,1.3635244e-17,6.169269e-22,5.9886557e-31,9.580671e-13,1.6316038e-14,5.491457e-15,2.1242782e-17,1.0549243e-18,6.986256e-19
3,3,900,4,2.2659905e-23,3.1943035e-08,0.0,6.1904665e-28,0.9961166,9.869684e-13,7.155453e-11,0.0037024708,7.34572e-15,3.948555e-12,4.9883272e-24,0.00017748313,4.6058296e-11,9.391775e-14,1.77897e-15,3.315934e-20,1.787488e-06
4,4,983,4,5.702062e-18,0.0002543823,3.984929e-06,2.7178026e-09,0.97985053,0.0022086126,4.735549e-11,9.96662e-12,0.0052444967,7.508135e-08,0.012321002,6.144072e-06,1.1998371e-08,3.071056e-06,0.000105339175,3.0830254e-08,3.1759719e-06
5,5,907,7,7.644642e-21,6.4660794e-14,0.0,1.7240561e-11,6.6913124e-08,1.9435323e-11,2.7910347e-16,1.0,4.3360375e-15,1.04272354e-22,1.04569515e-22,2.2639773e-08,3.3108807e-11,8.232043e-11,8.1166674e-19,2.5987084e-20,4.1553273e-18
6,6,913,4,8.326636e-18,1.9845894e-10,0.0,1.4875192e-23,0.99996567,1.0005219e-09,2.4551777e-11,2.6142592e-05,9.87944e-13,1.0615451e-10,1.0475897e-18,7.741692e-06,2.4310111e-12,3.245507e-10,1.5550133e-12,4.5599402e-18,4.537478e-07
7,7,914,4,3.82326e-21,2.4538777e-10,0.0,3.9286824e-17,0.9988982,2.0307947e-08,2.417185e-13,0.00011716743,2.6691258e-14,1.424971e-10,4.819003e-15,0.0009852201,1.2005043e-10,4.8932577e-11,1.3015712e-16,4.720704e-19,7.144721e-07
8,8,1000,10,1.69918e-26,9.641963e-15,0.0,4.74808e-09,1.5268072e-13,2.1079158e-17,2.1988944e-18,1.3469629e-21,2.5757683e-15,1.9676852e-21,1.0,1.6560941e-14,3.5981355e-20,3.1273413e-21,3.2677629e-21,4.959986e-21,3.6833982e-17
9,9,994,10,6.788782e-23,7.2868305e-15,1.7207079e-23,5.352447e-10,3.433132e-11,8.27507e-14,2.1834466e-19,4.4680387e-20,6.5150316e-13,1.3697313e-20,1.0,1.4474308e-13,1.7493047e-17,2.3317922e-16,6.753393e-16,9.979726e-16,1.1647725e-17
10,10,988,2,1.5632235e-31,2.4968912e-23,1.0,7.0796177e-34,1.5585411e-19,5.430472e-19,3.1008986e-28,2.5031995e-27,6.638877e-18,9.179646e-28,1.483203e-21,2.2306151e-21,1.3534971e-24,2.2343453e-21,5.8695844e-21,1.4213499e-25,3.088035e-26
11,11,966,2,4.9595302e-37,1.5276506e-26,1.0,1.89e-43,1.2506646e-22,1.0458501e-23,1.2018405e-28,5.810657e-29,3.110589e-21,6.964786e-33,1.8466755e-32,2.0002322e-24,4.406579e-27,4.8206903e-24,5.6141327e-25,1.1897603e-30,7.386238e-30
12,12,963,2,8.9765364e-38,2.3116493e-26,1.0,2.7519e-41,4.613678e-24,5.6315927e-25,1.269275e-29,4.0357305e-30,1.6732867e-22,4.499667e-34,7.995111e-31,1.0371607e-24,7.6097874e-28,3.0954552e-25,6.225118e-26,6.186134e-32,3.743363e-30
13,13,949,2,1.3736693e-38,1.1704428e-24,1.0,6.672177e-36,4.3461216e-23,2.2273892e-24,2.1300672e-29,1.364156e-29,2.1920821e-21,1.2084673e-32,2.8224033e-25,1.4987855e-23,1.7469949e-27,3.8372494e-25,3.936648e-25,1.0589215e-30,4.4262182e-29
14,14,969,2,6.482576e-37,1.2117987e-27,1.0,1.097e-42,7.7800214e-23,1.1993659e-23,2.5850902e-30,1.5642221e-28,1.9569357e-21,3.5597624e-33,3.206985e-33,2.1855744e-24,1.4978632e-26,4.9139696e-24,7.124535e-27,3.427578e-29,4.64765e-30
15,15,955,10,5.951889e-26,4.660171e-13,0.0,0.3742219,5.328042e-10,8.6097394e-13,3.519446e-17,4.623336e-15,5.838946e-13,2.818919e-16,0.6257768,1.3419692e-11,4.6663918e-15,1.00696195e-17,1.207586e-19,6.861183e-16,1.6012112e-15
16,16,975,10,6.2970013e-28,1.3962177e-15,0.0,0.00012167716,1.4066626e-13,1.6309355e-17,6.8799875e-20,9.0213823e-20,4.4471983e-17,3.1041745e-22,0.9998779,3.9410554e-15,9.376676e-20,3.0285835e-19,5.1344674e-20,8.3997404e-22,3.8359608e-18
17,17,979,10,2.2028146e-26,3.0114504e-13,0.0,0.15828998,1.454371e-06,8.889711e-15,9.8746724e-17,1.5233726e-12,4.995058e-13,1.7760942e-16,0.84170866,1.25903e-10,9.76199e-14,1.3630896e-14,8.3752756e-19,4.391211e-18,3.4062057e-12
18,18,951,10,9.2691736e-26,4.1693819e-13,0.0,9.413419e-07,2.8008185e-10,4.8273924e-15,1.6092557e-17,3.351993e-18,1.2653386e-12,4.3724565e-18,1.0,9.376834e-13,1.3716321e-16,6.483751e-18,1.9327963e-19,9.545287e-20,1.3926219e-15
19,19,919,10,4.0722623e-28,1.3954223e-14,0.0,0.0005867183,4.875543e-13,1.3175771e-16,2.1077211e-19,5.272597e-19,7.8881415e-16,1.0676964e-20,0.9994128,1.35183985e-14,7.242535e-18,4.8936486e-19,1.5149296e-19,7.7229015e-21,9.0762765e-18
