beam_id,start,end,cluster,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18
0,0,1,0,1.0,0.0,2.1024236e-24,8.354526e-21,8.7044235e-12,1.719819e-34,1.212316e-13,3.8910586e-14,4.965656e-10,6.498599e-36,1.646978e-10,1.3054686e-10,3.5585302e-16,1.448854e-16,3.492377e-17,0.0,2.0508156e-10,2.5498036e-07,4.450316e-19
1,1,2,0,1.0,0.0,4.6135038e-23,8.9271374e-20,1.679705e-10,4.3160258e-35,6.7181243e-13,2.8847378e-13,3.061238e-09,3.114604e-35,2.5702293e-10,9.2591423e-10,4.5998355e-14,9.992908e-16,6.7557412e-15,0.0,2.008943e-08,1.2981762e-06,5.3638273e-19
2,2,663,0,1.0,0.0,2.5319483e-23,3.7665564e-21,2.4800554e-12,4.012243e-39,1.0665314e-14,8.963942e-16,4.273268e-12,6.8170516e-35,1.6379986e-11,5.1766738e-12,2.319294e-15,1.2547801e-13,2.9600567e-16,0.0,8.1085033e-10,4.3319713e-07,4.0379532e-20
3,3,900,17,5.7948966e-14,0.0,6.1823955e-28,3.0897462e-17,4.3727647e-07,4.273019e-29,1.0733477e-06,1.960307e-12,9.9906993e-23,2.2087944e-36,1.8959584e-08,2.8643857e-13,1.0497765e-13,8.767635e-06,1.3412833e-11,0.0,4.501672e-13,0.9999886,6.0886213e-18
4,4,983,18,2.9911678e-17,0.0,2.314841e-06,3.428812e-19,6.9146606e-14,2.3380509e-26,4.2069892e-10,1.6000869e-16,1.562016e-13,1.2772645e-37,9.769774e-07,5.3921197e-11,4.5648797e-12,1.14506475e-20,5.808113e-20,0.0,8.92956e-19,3.204086e-11,0.9999962
5,5,907,17,6.6268787e-12,0.0,1.1843714e-23,3.781102e-18,4.6201485e-06,4.355161e-33,5.700354e-07,4.218298e-12,3.115054e-21,4.245339e-34,8.6428615e-09,1.018459e-09,2.5440455e-12,2.6148862e-06,1.5053163e-10,0.0,4.032292e-11,0.9999923,2.5694457e-17
6,6,913,17,3.682366e-13,0.0,6.556666e-29,9.539936e-20,5.0740994e-08,1.4428475e-31,8.661877e-08,2.2319508e-14,2.5338449e-21,1.5559555e-36,2.4557623e-08,9.387445e-13,5.5435887e-16,4.10606e-08,2.0583287e-13,0.0,5.518168e-15,1.0,1.2388119e-16
7,7,914,17,6.2883363e-13,0.0,3.1504862e-29,7.5142824e-19,1.7435374e-07,3.167233e-31,4.848192e-07,3.419977e-14,3.8959293e-22,4.677445e-36,7.083679e-09,2.7047345e-13,7.021538e-15,1.1773717e-07,1.9096734e-12,0.0,1.0192887e-13,1.0,2.1830397e-18
8,8,1000,18,4.9835684e-18,0.0,1.676991e-17,2.9709572e-19,2.0612536e-11,3e-45,2.0642166e-07,2.721642e-16,1.3694339e-12,1.8e-44,3.3207343e-11,1.1320577e-11,8.887909e-16,5.9006097e-21,6.8269743e-18,0.0,1.2270198e-18,5.614127e-12,1.0
9,9,994,2,1.82836e-24,0.0,0.9472108,7.683702e-21,8.454348e-09,1.1696005e-37,6.4478526e-14,2.4185076e-10,2.8914166e-19,5.976768e-30,1.2476592e-12,5.791141e-06,7.244129e-13,1.3734302e-13,5.184547e-09,0.0,1.6315149e-16,1.5254834e-12,0.05278419
10,10,988,2,3.0528176e-32,0.0,1.0,5.617676e-22,5.28268e-13,5.35788e-40,3.799925e-20,2.341035e-16,6.592005e-28,6.063687e-31,1.07231916e-16,2.5967482e-11,2.0512485e-15,8.709574e-19,5.1016635e-14,0.0,7.342507e-20,2.4401539e-19,2.3666866e-10
11,11,966,2,1.386882e-20,0.0,1.0,9.5859e-20,8.9250676e-11,5.773e-42,1.7339713e-09,3.141079e-21,3.9459666e-19,8.49936e-39,3.465982e-08,1.2479645e-11,1.4377429e-09,1.4411346e-19,1.502964e-17,0.0,2.1782526e-14,2.3872297e-13,4.57723e-10
12,12,963,2,1.2973631e-23,0.0,1.0,7.8557997e-16,7.51389e-09,2.561004e-37,2.6032572e-09,3.0509417e-18,1.6698882e-22,4.2183753e-36,7.08727e-10,2.0596614e-08,1.904342e-11,1.1326633e-17,1.0309565e-15,0.0,3.454454e-18,1.2124335e-10,3.147661e-08
13,13,949,2,8.932643e-23,0.0,0.9999427,5.0992833e-24,7.3818643e-17,4.099428e-36,7.5469145e-12,2.1978092e-21,6.078427e-20,1.893846e-39,3.7973013e-13,1.4336639e-15,2.5636327e-15,8.913794e-21,1.1813854e-21,0.0,5.6431494e-22,3.430718e-14,5.6492074e-05
14,14,969,2,3.0900447e-22,0.0,1.0,1.9057637e-21,1.2049472e-15,1.3810252e-38,1.7776047e-17,2.8310043e-20,2.1978976e-17,1.7e-44,2.2465601e-12,3.052789e-13,4.02714e-12,2.0845892e-18,1.7580136e-18,0.0,5.0066797e-19,2.0639177e-14,2.5730323e-12
15,15,955,18,1.1362199e-18,0.0,3.946369e-21,6.88957e-21,6.52819e-14,2.8137967e-22,2.0463456e-10,1.2265369e-12,5.386669e-12,1.1e-44,5.619474e-08,1.210474e-10,2.9715044e-17,4.4510146e-18,5.3074047e-20,0.0,1.3887828e-20,2.2126377e-08,1.0
16,16,975,18,4.210986e-18,0.0,4.2822027e-23,4.3795966e-20,6.643714e-11,9.9057763e-29,2.936172e-07,1.7434675e-11,1.4923708e-11,1.3715e-40,8.218022e-10,4.5740706e-10,1.3812243e-17,1.7662045e-14,1.2269984e-15,0.0,3.67636e-20,3.0524953e-07,1.0
17,17,979,18,3.5361538e-13,0.0,2.8570095e-20,1.2107613e-16,1.8868242e-08,3.4589524e-32,3.3884478e-06,5.544833e-10,2.5079657e-07,1.0601e-41,2.0377722e-07,4.898556e-06,3.385243e-14,5.892034e-08,3.7003607e-14,0.0,7.6908765e-16,0.13023907,0.8697535
18,18,951,18,1.03200734e-22,0.0,6.080051e-20,4.989646e-22,1.362649e-12,8.220543e-37,8.944696e-12,3.9621632e-13,4.531684e-14,3.0040347e-38,4.4657176e-14,3.570315e-11,2.846459e-19,1.1531083e-20,4.680527e-16,0.0,1.2208369e-20,3.1935522e-13,1.0
19,19,919,18,1.1293734e-21,0.0,2.464757e-20,2.5895128e-22,9.565438e-14,2.1494314e-34,1.6326834e-11,7.386463e-15,1.0148618e-13,2.308e-42,1.7456684e-13,3.842973e-12,1.2981479e-19,2.4939332e-21,9.5733384e-18,0.0,5.156977e-22,5.287479e-13,1.0
20,20,972,2,1.927366e-23,0.0,0.99448395,1.2205247e-13,5.9341545e-13,1.1163849e-38,2.6605624e-17,1.0393358e-15,4.4819774e-16,1.7881122e-32,3.1006046e-12,1.0059003e-06,2.4791524e-08,6.6363704e-18,1.080235e-08,1e-45,8.852039e-17,9.698736e-15,0.0055159708
21,21,945,2,1.9490848e-27,0.0,1.0,8.16665e-24,6.5435876e-17,3.81e-43,2.2952163e-20,1.1139697e-21,6.9760156e-23,7.874806e-35,1.6892534e-18,2.8558944e-15,3.1454308e-14,6.1350782e-21,3.893623e-16,0.0,4.3947424e-20,5.691159e-16,2.924362e-11
