beam_id,start,end,cluster,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
0,0,1,14,1.5865183e-19,4.7040052e-11,1.054519e-16,1.3491151e-17,6.728e-42,4.253708e-32,2.7723266e-09,8.0555304e-19,1.3780305e-16,1.3440618e-15,1.1916246e-19,1.5760874e-36,0.0,3.3113734e-11,1.0,1.8492283e-16,7.924488e-15,3.1304047e-31,2.1722902e-33,3.5224778e-19,1.6063416e-18
1,1,2,14,9.087814e-18,6.958677e-11,3.704945e-17,2.6585535e-17,1.74137e-40,9.345164e-31,1.9916143e-08,8.20299e-17,5.740264e-15,1.4267575e-14,2.5178253e-18,5.036269e-36,0.0,1.5704665e-10,1.0,1.7443619e-15,1.5335579e-13,6.0289254e-32,5.4858165e-33,3.186009e-20,5.7096837e-17
2,2,663,14,8.409155e-17,2.5720316e-12,4.0543956e-18,1.7702809e-19,1e-45,8.690508e-30,1.1842888e-10,8.3626066e-18,3.9644099e-16,1.6193003e-16,1.4077959e-16,2.3999927e-37,0.0,1.4658698e-10,1.0,5.0971204e-18,3.8626891e-16,3.137476e-35,1.9252117e-32,3.3115873e-19,1.3845327e-16
3,3,900,13,2.0984228e-19,9.050659e-10,3.6872494e-10,9.601218e-16,4.1599244e-34,2.8328088e-35,1.1840205e-13,2.1979881e-11,1.3569394e-10,3.942919e-08,1.1763179e-05,2.0911971e-28,0.0,0.9999886,1.4630807e-12,5.9509325e-12,1.9147527e-17,8.891909e-24,2.2670372e-30,3.2024366e-11,1.2226058e-16
4,4,983,2,1.9231e-41,0.00019723088,0.75581354,2.0306513e-12,1.94518e-40,8.787171e-10,4.5419455e-07,1.0879309e-16,4.137964e-08,3.5261857e-13,1.7109458e-19,0.24399064,0.0,1.8324797e-09,4.4204324e-13,1.1795922e-15,1.0184859e-17,1.0829305e-21,1.5870156e-33,5.5304256e-10,2.3654202e-27
5,5,907,13,1.0171126e-15,1.8416753e-08,3.959206e-11,1.8766138e-11,1.2922092e-34,2.4479999e-30,4.6271336e-13,2.297523e-10,5.2980254e-10,7.178021e-07,1.7780486e-06,3.2342323e-27,0.0,0.9999962,3.2218336e-11,1.1171201e-11,2.6514086e-13,1.6854078e-29,3.424757e-28,4.6753595e-13,3.785586e-13
6,6,913,13,8.507325e-20,7.706851e-09,1.0229489e-08,6.740168e-15,4.02068e-40,1.9278828e-36,1.9245033e-13,3.492011e-13,2.7953666e-12,3.7595167e-09,3.7603794e-08,7.152958e-29,0.0,1.0,1.197938e-10,5.899033e-14,7.805731e-17,7.607473e-26,1.5413566e-30,1.44707345e-11,1.0541524e-17
7,7,914,13,4.3942274e-18,1.347711e-09,1.886117e-10,1.4606025e-15,8.321407e-38,1.2010382e-36,1.4258333e-13,2.852861e-12,1.3726773e-11,1.7197957e-08,1.3586559e-07,8.175446e-30,0.0,1.0,3.3100727e-11,9.585309e-14,5.01743e-17,8.061004e-26,3.4055896e-30,4.0992596e-12,1.3696558e-16
8,8,1000,2,4.212733e-35,3.088358e-08,0.99988174,2.276616e-13,1.81453e-40,4.4323247e-26,2.5561814e-08,2.646857e-16,1.22583116e-11,5.9287722e-12,2.2288046e-20,0.00011688307,0.0,6.0617136e-11,3.0516051e-18,1.7428121e-15,6.000923e-20,8.804565e-37,3.003448e-39,1.5177291e-19,1.4729162e-32
9,9,994,11,2.6749058e-36,7.854771e-11,6.8811685e-05,7.9458613e-07,6.2932864e-26,0.052568175,2.2957433e-11,6.365488e-08,4.117629e-11,1.959996e-09,1.2736511e-12,0.9473626,0.0,6.147734e-12,8.442194e-25,3.8314132e-10,5.954369e-17,1.8228886e-29,6.1768796e-28,3.719495e-21,1.4263641e-31
