source_beam_id,beam_id,element_id,beam_type,beam_type_name,cluster,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43
0,0,0000,0,column,5,0.0,7.870144965414771e-14,1.7416890514185528e-15,8.398380475682528e-18,0.0,1.0,1.219527438391522e-15,9.854351190671411e-41,9.937968226125804e-10,5.0587359891026955e-30,5.03558945883884e-24,2.7561818483305717e-17,8.061623035793275e-10,9.31923982427918e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0000,0,column,5,0.0,7.870144965414771e-14,1.7416890514185528e-15,8.398380475682528e-18,0.0,1.0,1.219527438391522e-15,9.854351190671411e-41,9.937968226125804e-10,5.0587359891026955e-30,5.03558945883884e-24,2.7561818483305717e-17,8.061623035793275e-10,9.31923982427918e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0000,0,column,5,0.0,7.870144965414771e-14,1.7416890514185528e-15,8.398380475682528e-18,0.0,1.0,1.219527438391522e-15,9.854351190671411e-41,9.937968226125804e-10,5.0587359891026955e-30,5.03558945883884e-24,2.7561818483305717e-17,8.061623035793275e-10,9.31923982427918e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,0001,0,column,8,1.4267180184676693e-39,1.9969315245244403e-16,4.0876196436728015e-15,5.033000315883378e-15,3.0945625083661813e-37,1.3582074701035118e-11,5.87180261010789e-13,0.0,1.0,3.2489777533987507e-31,2.711672748494196e-16,1.3433882572858793e-18,1.0740001274758846e-19,1.0431038671709914e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,0002,0,column,1,4.203895392974451e-45,0.9691075682640076,0.004407170694321394,0.026486027985811234,6.695984200108206e-38,2.327155048187173e-15,2.3868748939615103e-20,4.108756655076928e-22,3.312802532295933e-10,6.458594169565304e-19,4.7384151317291304e-14,1.9386170449623505e-17,9.493619903294549e-26,3.855073572516874e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3,0003,0,column,8,8.491555363471768e-38,5.2283194696055394e-17,1.828520132612155e-17,1.34206715185492e-10,2.1099561104846093e-35,1.2929441371711814e-11,2.051121716917237e-09,0.0,0.9999961853027344,7.696720978223696e-30,2.8023727304293598e-18,2.595975296069376e-19,4.505231968439705e-19,2.304049075974035e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,4,0004,0,column,8,0.0,1.5791468293799508e-18,8.0007736769848e-19,2.801781159508798e-13,1.771216035534211e-38,4.4644914528506677e-14,1.2259970760426504e-15,0.0,1.0,5.635314745666903e-31,1.452587187532966e-19,1.4253006963233437e-20,6.216426155785734e-28,4.826656934409541e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,5,0005,0,column,8,0.0,6.651342503432703e-20,2.5444257621865893e-18,6.888283346495605e-13,6.58610278232664e-44,2.6828277013141166e-12,5.5989206326767516e-12,0.0,1.0,6.155170815056183e-35,6.680542531574003e-25,1.390475885886736e-17,1.3138575997992973e-24,8.146587550871779e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6,0006,0,column,3,0.0,3.972091508330777e-05,6.00178466925172e-08,0.9999579787254333,1.401298464324817e-45,2.292067588053745e-19,1.3166444323695913e-28,0.0,2.2095698568591615e-06,6.07718877631818e-23,1.3211921655450695e-14,3.256352707012994e-13,2.619091005485657e-27,3.053867997461617e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,7,0007,0,column,3,0.0,1.8852566086025035e-07,5.486275322930112e-11,1.0,2.235808133590318e-39,1.526449537160807e-20,2.0601050539738225e-27,0.0,2.5431868166947424e-08,1.2919896852532788e-23,3.383049151893975e-21,9.418523738702334e-10,6.368236620687085e-29,9.306479824863403e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,0008,0,column,3,4.2615287805874555e-28,0.00012666404654737562,0.00015664566308259964,0.9997177720069885,2.1119581369803233e-23,1.152292206352297e-17,2.646804598125005e-25,1.1519973689809166e-25,8.582849600306808e-13,1.0319569770109518e-13,1.5129173288402244e-22,1.0585976539800868e-09,2.7579018284483837e-28,6.164797180006093e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,9,0009,0,column,1,2.3034283838812976e-33,0.9976986050605774,9.925453196046874e-05,0.0022035548463463783,1.2845240593972371e-39,2.146251926182785e-12,2.001556716293264e-20,9.67769139361214e-18,1.341159307092013e-13,9.42288409030035e-15,4.847251732373033e-21,7.11903421839995e-23,2.720535036530645e-21,3.30011380836866e-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,10,0010,0,column,1,1.0558723392593838e-37,0.999885618686676,4.1186631278833374e-05,7.206424925243482e-05,3.402072411687791e-41,1.5756463209688152e-16,1.1832230720594095e-25,2.7086498474490452e-34,6.66288451227527e-16,2.620012078995613e-18,3.434480269702196e-19,3.036242115873286e-26,4.28489214044632e-26,1.5688766762458714e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,11,0011,0,column,3,1.9290975309127594e-40,0.009427831508219242,1.3142391175335888e-08,0.9905728101730347,7.276942925238775e-42,4.4272200478819465e-19,2.0768636296814052e-28,0.0,1.5396380351195837e-11,8.473491949460916e-17,5.075130297608589e-21,1.2259076081875967e-16,3.1615342187180323e-24,1.667446726542345e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,12,0012,0,column,9,2.4608732086257494e-23,1.0680749362203257e-13,1.2042796806706422e-17,3.263359305005764e-10,2.78747093194593e-23,1.6369829349083985e-23,1.9307677869275193e-21,8.721358222272095e-38,1.701046523396724e-20,1.0,2.135554168435769e-26,2.964673993514754e-19,1.7591245337660204e-36,2.9216517197054477e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,13,0013,0,column,8,0.0,1.443463421565658e-17,4.627677688902469e-22,2.703749446553161e-09,0.0,3.260479451532017e-13,3.64920507811331e-16,0.0,1.0,5.527859421634507e-30,7.567899981172085e-20,8.055266387729451e-16,1.1600302167044517e-28,6.658949514839682e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,14,0014,0,column,8,0.0,7.50908666843908e-14,2.238027541559556e-16,4.638281723146065e-07,0.0,1.4752252154234813e-12,1.158240937766018e-18,0.0,1.0,9.856313244639136e-31,8.401122566488445e-21,3.233157014684296e-13,1.6895346826289627e-28,1.8160581206710068e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,15,0015,0,column,8,0.0,3.6017995769070665e-14,4.289217296767588e-15,1.9847808729878125e-08,0.0,1.437986150510176e-14,5.67539470882269e-17,0.0,1.0,3.732599931480523e-36,2.0094116151101835e-22,5.659019802241316e-13,2.36103258615674e-25,1.6121539866964518e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,16,0016,0,column,8,0.0,1.2609436828014964e-09,1.0791691027129194e-14,0.0003757691301871091,0.0,1.628007912534606e-17,1.090299251032707e-23,0.0,0.9996224045753479,2.266510944362844e-29,2.7324389523362172e-17,2.8135825646310314e-14,2.558613820040484e-28,9.005374377288433e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
