source_beam_id,beam_id,element_id,beam_type,beam_type_name,cluster,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49
0,0,0000,0,column,4,1.865798752256572e-27,1.493988385361493e-26,4.21693702179482e-09,0.0,1.0,1.3377708005239255e-29,0.0,2.6578322241676094e-18,2.912402676314127e-40,3.637378942722737e-23,3.1940533117696956e-12,1.6122322180962893e-29,7.666909555559068e-25,0.0,0.0,1.1058608049467969e-15,4.458328271719856e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0000,0,column,4,1.865798752256572e-27,1.493988385361493e-26,4.21693702179482e-09,0.0,1.0,1.3377708005239255e-29,0.0,2.6578322241676094e-18,2.912402676314127e-40,3.637378942722737e-23,3.1940533117696956e-12,1.6122322180962893e-29,7.666909555559068e-25,0.0,0.0,1.1058608049467969e-15,4.458328271719856e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0000,0,column,4,1.865798752256572e-27,1.493988385361493e-26,4.21693702179482e-09,0.0,1.0,1.3377708005239255e-29,0.0,2.6578322241676094e-18,2.912402676314127e-40,3.637378942722737e-23,3.1940533117696956e-12,1.6122322180962893e-29,7.666909555559068e-25,0.0,0.0,1.1058608049467969e-15,4.458328271719856e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,0001,0,column,2,5.852203279566432e-24,5.222087031559143e-22,1.0,0.0,2.1679032180532687e-10,6.579384004334941e-16,0.0,9.415036733708178e-18,0.0,9.225800699297956e-15,2.5542925340918352e-21,8.881445197841182e-29,5.083229639807576e-21,0.0,2.492568473867076e-32,3.0559582642197824e-13,1.3913276455425339e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,0002,0,column,3,2.4532812474627437e-40,2.4296111997279546e-12,7.410177614748659e-13,0.9999465942382812,3.623268135174995e-15,1.2988640207822755e-07,9.400248970697909e-26,3.685026763197184e-18,2.3523668218341203e-32,4.232784912502896e-14,7.768823797485267e-35,1.7291998740389077e-19,7.407603789033601e-06,0.0,6.472737736562763e-41,7.099560350011619e-31,4.774034459842369e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3,0003,0,column,2,6.1299659374601815e-25,5.295839824184467e-19,1.0,0.0,1.858546086128121e-12,6.223932335565901e-18,0.0,6.0537761419576895e-22,0.0,8.563099070710533e-20,1.4511654470630956e-24,6.509436325023112e-30,8.262608890899614e-22,0.0,2.6214090372124353e-41,2.181633346198808e-10,5.829427981153129e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,4,0004,0,column,2,6.208741762495128e-15,1.309158075972363e-19,1.0,0.0,4.833796904413212e-11,3.31698807309877e-10,0.0,1.1371782310334271e-18,2.536069960735054e-41,6.781118665008946e-16,1.4828124341724513e-29,1.7550858451054556e-25,2.2251112982742754e-18,2.7171177223258203e-42,1.401298464324817e-45,3.853916449154383e-24,9.476853302754426e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,5,0005,0,column,2,3.497028048708276e-18,6.609182400080582e-19,1.0,0.0,6.478063224735209e-11,3.32952798665076e-09,0.0,6.175123633623536e-17,0.0,1.7310246211416058e-23,5.378901454583053e-29,6.765409623869472e-31,1.153301819710244e-20,0.0,0.0,2.3296373559940793e-19,9.140534974695549e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6,0006,0,column,5,2.9331701998151135e-38,1.7253039459319552e-06,1.4644766519258945e-12,4.78480356871187e-15,1.0280728394039837e-17,0.9999809265136719,0.0,3.350864941423226e-12,1.1291556549512093e-25,2.000350162205053e-13,1.3283371104122488e-30,1.147753691544065e-21,1.2809742656827439e-05,0.0,0.0,1.5127505637681202e-29,3.5849948289978784e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,7,0007,0,column,12,1.6202023039293184e-39,6.246638349693967e-06,3.2220792006709686e-11,2.423852452282045e-20,7.60469356418463e-17,0.05289949104189873,0.0,1.510276490535034e-07,9.144635609999119e-33,4.252796918208682e-18,2.7910147933720642e-30,3.167393513068276e-21,0.9470952153205872,0.0,0.0,8.594990605485747e-24,1.373523446090985e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,0008,0,column,12,0.0,1.2349547382980997e-12,4.858443011724493e-17,9.677268751964729e-14,3.2442328026795165e-17,3.0328025247411405e-12,7.516231642835154e-34,4.7957041116042376e-11,1.6927069751275946e-30,1.4966267831675588e-22,2.682245076004959e-34,2.6852924790992e-14,1.0,1.1583917161701894e-32,6.662445575755452e-33,2.284123563877867e-35,1.8580626601760741e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,9,0009,0,column,3,1.071082481206674e-40,1.897777941739509e-12,1.098194072571973e-13,0.999992311000824,1.4745051967607337e-12,1.6996895156520114e-14,2.588485375551616e-22,6.772427570699949e-25,6.936069986214644e-26,8.294378907016633e-22,1.0036272213874318e-29,1.4130693846414462e-15,5.435730145109119e-06,0.0,1.6130109972096413e-32,3.408925168518987e-33,4.705414653471962e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,10,0010,0,column,3,2.754532391323293e-41,1.5784378239256102e-16,5.822516059954636e-18,1.0,2.1269624308459797e-17,1.0596979328379112e-14,7.304968894525271e-42,4.529059709162286e-28,4.0309867810420397e-25,1.0968134456526703e-19,2.917130199052109e-34,1.3411910329343912e-19,5.6985438590118065e-09,0.0,4.129414676154753e-32,1.2265232034399561e-34,4.584556378972593e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,11,0011,0,column,12,2.0173092692420067e-40,5.503290423196361e-13,2.2068810283582723e-15,1.5093364790419103e-16,1.3561687354172218e-17,2.1482067324996024e-07,0.0,5.195933032518373e-16,1.790226157705773e-19,1.5489165833160113e-18,9.390992335087602e-28,1.805309510798366e-16,1.0,0.0,1.648439911699357e-28,2.7434290893389128e-30,7.236796051302008e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,12,0012,0,column,11,0.0,1.1656351716584742e-24,1.270213387029407e-16,3.0746169865443676e-40,9.37241072410721e-22,6.829791449464009e-32,3.363116314379561e-44,1.1469232716793085e-19,0.0,7.471613726443831e-25,2.5278022997955375e-41,0.9999961853027344,3.097245098615531e-06,5.274303115967788e-28,9.859356353990449e-24,6.389269137489999e-34,4.375124212903357e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,13,0013,0,column,2,1.9365884018113394e-28,3.768199641207559e-11,0.9896286129951477,0.0,2.5452323582086933e-10,0.01037132740020752,0.0,1.381353663182025e-13,1.401298464324817e-45,1.1199158608686039e-17,3.2141865295480283e-33,3.6514860141009072e-25,2.414786535811261e-15,0.0,0.0,1.3822107302933307e-16,8.087719396312316e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
