source_beam_id,beam_id,element_id,beam_type,beam_type_name,cluster,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79
0,0,0000,0,column,22,1.1855399400824051e-19,3.0380673110629534e-37,2.7392003266632256e-18,0.0,0.0,3.0925900406477977e-38,0.0,6.16396860675489e-17,1.5642091638398888e-37,5.734312367167149e-07,5.184804318001823e-44,3.2426084887901614e-19,0.0,1.2475760227883846e-41,3.465196634592482e-26,0.0,0.0,0.0,0.0,1.1205738830458898e-17,7.766307108137684e-27,8.127286437582456e-36,1.0,3.0830269470912274e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0000,0,column,22,1.1855399400824051e-19,3.0380673110629534e-37,2.7392003266632256e-18,0.0,0.0,3.0925900406477977e-38,0.0,6.16396860675489e-17,1.5642091638398888e-37,5.734312367167149e-07,5.184804318001823e-44,3.2426084887901614e-19,0.0,1.2475760227883846e-41,3.465196634592482e-26,0.0,0.0,0.0,0.0,1.1205738830458898e-17,7.766307108137684e-27,8.127286437582456e-36,1.0,3.0830269470912274e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0000,0,column,22,1.1855399400824051e-19,3.0380673110629534e-37,2.7392003266632256e-18,0.0,0.0,3.0925900406477977e-38,0.0,6.16396860675489e-17,1.5642091638398888e-37,5.734312367167149e-07,5.184804318001823e-44,3.2426084887901614e-19,0.0,1.2475760227883846e-41,3.465196634592482e-26,0.0,0.0,0.0,0.0,1.1205738830458898e-17,7.766307108137684e-27,8.127286437582456e-36,1.0,3.0830269470912274e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,0001,0,column,23,1.708449127945888e-25,3.782104555212681e-42,5.83064264714304e-28,0.0,0.0,9.80908925027372e-45,0.0,8.526453188323437e-37,2.1019476964872256e-44,2.3123885206938183e-35,4.0480317673845305e-39,8.263113109428362e-37,0.0,1.0745548988012708e-39,1.7516230804060213e-43,0.0,0.0,0.0,0.0,9.585495852031157e-28,4.0108237389717637e-29,0.0,1.6240665537215485e-35,1.0,0.0,2.0725904936596207e-40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,0002,0,column,2,6.436007732616919e-14,3.0828566215145976e-44,1.0,0.0,0.0,9.860031333270787e-32,0.0,3.2349910923890857e-23,0.0,0.0,1.4281790263610868e-21,2.484044359096771e-10,0.0,8.575534935058928e-17,8.080461873252615e-26,0.0,7.24906625188432e-16,0.0,0.0,1.545487844519045e-25,2.336172770846811e-31,1.5359183675286709e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3,0003,0,column,23,3.041545990122065e-22,0.0,2.683778081196266e-28,0.0,0.0,0.0,0.0,9.538430133447538e-38,0.0,5.0058262742428646e-39,3.6458249164407784e-38,3.5360113158010403e-32,0.0,1.3110828691915853e-40,6.133483378349724e-42,0.0,0.0,0.0,0.0,2.0273261808398186e-24,1.169141339881517e-29,0.0,3.6573889918877726e-43,1.0,0.0,4.417207491186911e-38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,4,0004,0,column,23,5.490997471027737e-22,0.0,8.002602534502465e-27,0.0,0.0,1.401298464324817e-45,0.0,9.868750783023202e-34,0.0,1.0940188537200777e-32,1.4930535757250775e-34,5.415243612933483e-35,0.0,4.4463200273026446e-42,2.802596928649634e-42,0.0,0.0,0.0,0.0,6.633334629815249e-25,4.7257359073607947e-32,0.0,1.7796490496925177e-43,1.0,0.0,4.903843975904697e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,5,0005,0,column,23,6.454079960619266e-21,0.0,2.2073052277743e-27,0.0,0.0,5.605193857299268e-45,0.0,4.26611833250615e-34,0.0,1.9358477312844456e-30,3.7393965653441295e-37,2.9798217005043617e-34,0.0,8.952895888571256e-42,0.0,0.0,0.0,0.0,0.0,3.554625666716625e-22,3.60758600368659e-38,0.0,1.7277135654883256e-37,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6,0006,0,column,2,3.421191195229767e-06,1.4293244336113134e-43,0.9999961853027344,0.0,0.0,7.56279931072046e-33,0.0,1.3732234258293177e-24,0.0,8.407790785948902e-45,1.4762446822989533e-19,1.1468884869580975e-11,1.401298464324817e-45,5.315704499951958e-23,1.6569384386908303e-28,0.0,1.834380955406277e-18,0.0,0.0,7.112798455959907e-21,1.2951151068217672e-35,3.574310097245181e-32,0.0,2.8016370392015716e-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,7,0007,0,column,2,3.1328245119616183e-12,9.144836936365571e-35,1.0,0.0,0.0,1.7553536880346814e-25,0.0,1.1537753456640243e-38,1.401298464324817e-45,0.0,6.619302328481069e-11,5.641705720351104e-15,1.8216880036222622e-44,4.246131658086627e-12,1.0065555224785398e-16,0.0,6.72161278893879e-20,0.0,0.0,3.9742812405034575e-24,4.65307796676952e-30,2.010073988153255e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8,0008,0,column,2,1.1017273508556328e-20,1.851861457594748e-31,0.9999313354492188,0.0,0.0,1.6338705315385034e-22,0.0,4.343576823898349e-40,2.1509931427385942e-42,0.0,1.765869092196226e-05,2.068201133132407e-18,0.0,5.217372745391913e-05,4.075220265847636e-18,0.0,7.391561016414135e-16,0.0,0.0,1.0560520381238946e-25,1.2140421997710626e-28,4.1859448717503275e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
