source_beam_id,beam_id,element_id,beam_type,beam_type_name,cluster,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84
0,0,0000,0,column,12,5.76755867699954e-26,0.0,3.514370325341752e-27,8.744580340512795e-30,1.745358436800784e-32,1.401298464324817e-44,4.477695099918877e-40,1.0183852117985623e-24,3.960308816997049e-11,5.613619014077642e-10,9.818263831579347e-38,4.484155085839415e-44,1.0,2.9057583591739084e-26,4.052291572161247e-26,2.500029920027141e-28,7.460389921091285e-18,7.887423401588105e-30,0.0,0.0,2.6063904845415197e-29,0.0,0.0,3.923468605800801e-18,0.0,2.1001135952661285e-33,1.3266092561763043e-41,9.237336831435861e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0000,0,column,12,5.76755867699954e-26,0.0,3.514370325341752e-27,8.744580340512795e-30,1.745358436800784e-32,1.401298464324817e-44,4.477695099918877e-40,1.0183852117985623e-24,3.960308816997049e-11,5.613619014077642e-10,9.818263831579347e-38,4.484155085839415e-44,1.0,2.9057583591739084e-26,4.052291572161247e-26,2.500029920027141e-28,7.460389921091285e-18,7.887423401588105e-30,0.0,0.0,2.6063904845415197e-29,0.0,0.0,3.923468605800801e-18,0.0,2.1001135952661285e-33,1.3266092561763043e-41,9.237336831435861e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0000,0,column,12,5.76755867699954e-26,0.0,3.514370325341752e-27,8.744580340512795e-30,1.745358436800784e-32,1.401298464324817e-44,4.477695099918877e-40,1.0183852117985623e-24,3.960308816997049e-11,5.613619014077642e-10,9.818263831579347e-38,4.484155085839415e-44,1.0,2.9057583591739084e-26,4.052291572161247e-26,2.500029920027141e-28,7.460389921091285e-18,7.887423401588105e-30,0.0,0.0,2.6063904845415197e-29,0.0,0.0,3.923468605800801e-18,0.0,2.1001135952661285e-33,1.3266092561763043e-41,9.237336831435861e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,0001,0,column,2,2.3394084296304346e-25,0.0,1.0,7.963829298928624e-36,2.811863715394214e-38,0.0,4.1207465459968095e-38,6.795913964343939e-21,1.3880369702193248e-26,0.0,0.0,5.153127887743047e-35,1.4114343997789053e-26,2.6911077227319658e-21,1.3008809365160248e-24,1.8861477329812038e-42,5.338942654940956e-19,1.0896420033605467e-31,0.0,0.0,5.326670429283542e-36,0.0,1.401298464324817e-45,3.515071918436324e-17,0.0,1.6472683115262201e-31,1.1518993007324515e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,0002,0,column,26,0.0,0.0,2.8107541591986826e-34,6.226266318678388e-31,2.9668061525178055e-23,4.116642930033069e-32,6.463063171965064e-39,5.347353094598446e-22,1.5332108163028052e-38,0.0,5.151241242268851e-35,7.006492321624085e-44,1.7480658001247675e-30,2.7677955633924898e-15,1.2997219132112464e-14,7.580811430428729e-21,1.9926934998982912e-38,5.681516532949466e-20,0.0,1.74251464038791e-41,4.484155085839415e-44,0.0,0.0,1.7791058099130327e-30,5.110674454677394e-32,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3,0003,0,column,2,6.463293300504748e-29,0.0,1.0,2.1694902824676818e-41,1.401298464324817e-45,0.0,2.8445237787022327e-40,4.2324987570532206e-27,1.7051520485479988e-28,6.58610278232664e-44,0.0,3.783505853677006e-44,2.302175781509165e-30,2.9623827333209144e-24,1.0742575228180564e-20,0.0,3.686368278097178e-15,3.4399513868197815e-32,0.0,4.203895392974451e-45,4.250923417852701e-37,0.0,5.605193857299268e-45,2.6816324851374445e-18,0.0,1.9435921143503254e-33,8.259295187684402e-38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,4,0004,0,column,2,3.5807089481965906e-18,0.0,1.0,1.0061518264904626e-32,7.987401246651457e-44,0.0,5.176302230815405e-33,2.591793984405858e-23,2.4695969999975054e-33,0.0,0.0,0.0,3.8861361101829996e-35,7.175572611035189e-18,2.0759163148159397e-25,0.0,2.6020280275225673e-30,4.093914616044948e-27,0.0,1.2611686178923354e-44,3.5777756209356224e-39,0.0,1.2146230881013222e-39,1.4509263898087185e-18,0.0,9.623009728578031e-36,5.62827387304785e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,5,0005,0,column,2,2.5757396552426516e-22,0.0,1.0,2.862404210989593e-31,0.0,0.0,2.4999164603554737e-42,2.877590610586962e-30,2.82135854169329e-33,0.0,0.0,0.0,5.048821117431476e-32,2.3373606517071085e-14,4.968462917830868e-24,9.80908925027372e-45,4.730044993407856e-25,5.620807283394704e-29,0.0,0.0,2.462095414803347e-40,0.0,1.217418475334195e-28,3.988022607985052e-18,0.0,3.9272290600661443e-32,3.1453673303285726e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6,0006,0,column,26,3.585922770207207e-42,0.0,1.505170103507012e-28,2.356904496761241e-23,1.1589298675859004e-34,0.0,1.2611686178923354e-44,7.977824067877399e-19,2.4374627626157332e-36,0.0,1.9205157701275745e-26,0.0,1.619659499218344e-30,1.8397327949060127e-05,1.024065054977541e-09,1.640377540131813e-30,1.093325229401146e-34,1.1134854728470683e-21,0.0,1.9351931792325724e-42,0.0,0.0,9.300994452159956e-23,1.080056515492003e-33,1.610602668931339e-22,0.0,0.9999809265136719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,7,0007,0,column,26,0.0,0.0,5.027039473433678e-35,2.0998070322538106e-20,1.1135729157118294e-24,0.0,1.2312130606204637e-39,2.224796523529225e-26,4.101738773107322e-38,5.484735438708978e-38,5.19544207911196e-37,0.0,5.307129535805744e-32,1.7951855280085027e-10,5.510706366056162e-13,8.19183331649549e-38,3.2887916295116665e-32,1.618436878135525e-22,0.0,3.545285114741787e-43,7.699798749833432e-40,0.0,5.546484283267354e-32,1.3045332001693312e-39,4.230235579925995e-21,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
