source_beam_id,beam_id,element_id,beam_type,beam_type_name,cluster,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88
0,0,0000,0,column,24,5.605193857299268e-45,4.1568604590659936e-20,4.372931404759299e-22,0.0,3.0828566215145976e-44,0.0,4.0593898254562637e-20,1.4641534194070015e-26,0.0,0.0,2.0864676486894172e-32,0.0053901877254247665,0.0,0.0,7.008073731687447e-16,6.808654986560919e-36,0.0,0.0,1.0643130735843442e-05,0.0,1.9567510566976514e-19,7.073485598606526e-35,0.0,0.0,0.994597852230072,3.9675476116388964e-28,2.74864648935762e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0000,0,column,24,5.605193857299268e-45,4.1568604590659936e-20,4.372931404759299e-22,0.0,3.0828566215145976e-44,0.0,4.0593898254562637e-20,1.4641534194070015e-26,0.0,0.0,2.0864676486894172e-32,0.0053901877254247665,0.0,0.0,7.008073731687447e-16,6.808654986560919e-36,0.0,0.0,1.0643130735843442e-05,0.0,1.9567510566976514e-19,7.073485598606526e-35,0.0,0.0,0.994597852230072,3.9675476116388964e-28,2.74864648935762e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0000,0,column,24,5.605193857299268e-45,4.1568604590659936e-20,4.372931404759299e-22,0.0,3.0828566215145976e-44,0.0,4.0593898254562637e-20,1.4641534194070015e-26,0.0,0.0,2.0864676486894172e-32,0.0053901877254247665,0.0,0.0,7.008073731687447e-16,6.808654986560919e-36,0.0,0.0,1.0643130735843442e-05,0.0,1.9567510566976514e-19,7.073485598606526e-35,0.0,0.0,0.994597852230072,3.9675476116388964e-28,2.74864648935762e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,0001,0,column,18,0.0,8.856688523964051e-27,7.749412080293542e-26,0.0,4.9049558903173885e-34,4.417313149091121e-41,1.368675538581079e-21,2.167152841252465e-23,1.401298464324817e-43,0.0,1.2723791921477855e-34,1.2313634369904189e-23,0.0,0.0,6.224089050133873e-36,9.309940571567977e-38,0.0,0.0,1.0,0.0,1.702784253098324e-30,0.0,0.0,0.0,1.4067548263527325e-23,1.2032063950440528e-30,3.830998939247518e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,0002,0,column,29,3.8395041083274147e-25,4.516272918593703e-29,3.354148004207882e-41,0.0,0.0,1.312362386972089e-35,5.212246276669658e-33,1.417497474572412e-40,3.1180882836827124e-27,4.411888259267244e-22,0.0,0.0,0.0,5.26926112766988e-26,8.766480091595611e-25,6.889483899852963e-38,0.0,8.502739963226598e-30,6.58206187572331e-26,0.0,3.1244865495956854e-24,1.3954825151784834e-38,0.0,2.5098250799120327e-35,0.0,1.8599129127019193e-14,6.286801049366908e-13,1.5959940496672334e-34,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3,0003,0,column,18,0.0,1.1608223778185142e-21,1.2528368009707985e-30,0.0,1.1911386749457202e-26,1.317220556465328e-43,3.991078988649647e-19,1.1765904577582083e-22,2.802596928649634e-45,0.0,1.0986179960306566e-42,1.6048712596820616e-26,0.0,0.0,9.378254642978486e-34,1.608354325413452e-39,0.0,1.1852383651532163e-24,1.0,0.0,2.5780320087047683e-28,0.0,0.0,0.0,3.1395285493364396e-24,2.0171697921669874e-28,4.46626196180039e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,4,0004,0,column,18,0.0,4.034915740251386e-22,6.207740997907169e-32,0.0,7.712962836566253e-33,0.0,2.1674975482244976e-18,1.5334139585860882e-25,8.767111738171072e-40,0.0,8.798753057495526e-42,2.9535295603740634e-21,0.0,0.0,1.152912634145251e-31,1.977190094208387e-40,0.0,2.1644272157396946e-30,1.0,0.0,7.353761943772419e-31,0.0,0.0,0.0,8.704856889692866e-19,5.787617560926564e-25,1.3920641386336035e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,5,0005,0,column,18,0.0,1.0981840394667128e-16,3.829211780176501e-30,0.0,2.195614952061162e-35,0.0,6.913337649339145e-15,4.645067136397479e-28,1.5114124976514612e-40,0.0,9.402712695619523e-43,1.4729105550641782e-17,0.0,0.0,2.1000857707270974e-29,7.124879396876349e-37,0.0,1.2949211081542981e-22,1.0,0.0,1.4869456933028805e-31,0.0,0.0,0.0,1.0003776744428507e-15,6.797196817047757e-25,2.960960008351235e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6,0006,0,column,29,1.291248323240883e-19,5.317185034098877e-23,7.258726045202552e-42,0.0,0.0,6.874333060856683e-39,3.1266289781162186e-19,1.401298464324817e-45,1.0699715317105526e-20,1.451473046333691e-20,0.0,0.0,0.0,7.928994148047872e-30,5.599631514174331e-25,6.991178035174927e-37,0.0,5.8022711635352664e-11,2.9048635320624033e-24,0.0,4.893643720819543e-21,9.274339743302726e-40,0.0,3.314354765367663e-34,1.7095841264762768e-43,1.3220569083927103e-10,2.5265794955671226e-19,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,7,0007,0,column,29,2.065995268462855e-31,1.2210902338543486e-32,4.498168070482663e-43,0.0,0.0,0.0,1.3798691976216757e-27,5.479076995510035e-43,2.658791537189495e-21,5.626807928148872e-31,1.1210387714598537e-44,0.0,0.0,1.249397710792007e-41,3.1006531120115227e-41,2.6656303357932997e-33,0.0,3.4302180518631406e-38,5.835471434996105e-28,0.0,3.082624067938322e-24,0.0,0.0,0.0,0.0,4.040971566674391e-21,3.282044625778342e-27,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
