beam_id,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31
0,0.91641176,1.0164397,-1.7490866,-0.33360624,0.8060262,-0.5022005,2.022362,-1.2177992,0.27373865,1.6156982,-1.7435282,-0.047432292,-0.12150344,-1.0221366,1.3520547,0.9362528,-0.015048341,-1.1619235,1.1531433,-0.7665444,-0.4089978,0.5801537,0.8011902,-1.2781363,-1.1059988,1.0973603,0.4641478,0.50731915,1.3625939,-0.59658825,0.08995881,-0.47464907
1,1.5944291,1.0557766,-1.9202499,-0.3567717,0.5363148,-0.4180786,1.8087583,-0.5596704,0.71972513,1.9525759,-1.4473766,-0.09497283,-0.26316854,-1.1886882,1.1587503,0.6118366,0.24617895,-0.7483121,0.43495604,-0.6448691,-0.3469462,0.66528857,0.36691803,-1.6536815,-0.010874395,1.4747268,0.47018683,1.0752137,1.1021197,-0.7917932,0.47667983,-0.535327
2,2.0687947,1.1184673,-1.763416,-0.27794236,0.51403487,-0.33859047,1.4669021,-0.046808083,1.1207733,1.7228204,-1.0009575,-0.078629605,-0.3619011,-1.2773607,0.7896194,-0.16306461,0.39154953,-0.40731952,0.013905508,-0.6496931,0.093277134,0.8614451,-0.1731138,-1.8816139,0.71934056,1.7601899,0.60221505,1.2593577,0.9605935,-0.74907273,0.59192324,-0.22909185
3,2.3054824,0.032998145,-0.73064965,-0.3122943,1.4315946,-0.63728935,0.63766533,0.15442589,0.665801,-0.4172447,-1.0387739,1.4050947,-0.34076443,-0.5134055,-0.45094013,-1.8507754,1.0880083,-0.14491719,0.43664214,-1.4768156,0.5224317,1.2406244,0.3555266,-0.6729252,0.42434502,1.3656343,1.3852718,1.3992991,0.9819285,-0.43640277,0.79226726,0.7209983
4,-0.16768275,-0.009092726,-1.2427101,0.5217845,-1.2910964,0.8039607,-0.7517253,0.46708578,1.4069418,-1.3734308,-1.6945292,-0.63895655,-1.1083364,-0.25525805,0.44012734,1.0857528,-0.06544458,1.3865709,-0.87898624,-0.27104136,-0.5661842,-1.546067,0.24455865,2.2663915,0.5592444,0.058989838,0.11086884,0.83458287,1.0098087,1.7503045,-0.41977277,-0.30449578
5,2.1750138,-0.21996929,-0.6951614,0.05134972,1.7160985,-0.16782929,0.61954653,0.5293011,0.3420825,-0.7198462,-1.2476091,1.1057858,-0.22741301,-0.12212073,0.1097273,-2.2401288,1.2390733,-0.56923443,0.6510867,-1.3043296,0.43877494,1.4755279,0.67665243,-0.87097096,0.1002377,1.3957137,0.57397753,1.1294907,1.1470575,-0.5635424,0.8446372,0.61049575
6,1.3402264,-0.20386156,-0.26446256,0.5274684,1.9318221,0.23283373,0.90908396,0.40191105,0.43502018,-1.0895123,-0.97025865,0.92081463,-0.14363714,0.04660771,0.33299658,-2.269376,1.0563653,-0.90436286,1.5229818,-1.6097405,0.057348453,1.2981652,0.34328854,-1.024333,-0.53824854,1.3535917,0.08012887,0.69781125,1.7440909,-0.27225226,0.63413054,0.34907788
7,1.2230306,-0.36056495,-0.26534095,0.6692573,1.869686,0.25811297,0.88411295,0.50763005,0.4028553,-1.246234,-0.7021978,0.92643845,-0.19756852,0.014957947,0.29498488,-2.3707561,1.1221449,-0.95378655,1.3566909,-1.710446,0.16651712,1.1886122,0.08513176,-1.0169817,-0.39198467,1.2277579,-0.124837145,0.76724255,1.806478,-0.2417119,0.6225365,0.30741796
8,1.6766632,0.004770694,-1.1323386,0.19412547,-0.57455057,0.23808417,-1.0257304,0.054223094,2.0481637,-0.40648124,-0.7534131,-1.5926949,-1.3348162,-0.96190625,1.2932681,-0.48502073,0.42907497,1.2165402,-0.7349145,-1.2588743,-0.5258703,-0.22185977,-0.0690925,0.71713793,0.8371237,-0.54047817,-0.8134965,0.93127656,1.3125819,0.9990224,1.57082,-0.8407128
9,1.007948,-0.1383167,-1.9023608,0.55594134,-0.5129187,0.9520437,0.23658682,-1.042424,1.5481031,-0.31751654,-0.63594055,-2.2744362,-1.4529283,-0.54236525,1.7718971,-0.39818493,0.3714752,1.0332012,-1.6406107,-0.713086,-0.4045594,-1.1120483,0.48707223,1.0069517,1.385912,-0.67110413,0.075648606,0.7571372,0.8714193,0.76050663,0.18774204,-0.26127124
