beam_id,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31
0,0.15808946,1.1773628,-0.783297,-1.8295217,0.4673226,0.4892186,0.49928614,0.5118974,-0.674551,-1.5481168,-0.27732965,0.5868427,-0.486377,-0.025771953,0.56311995,1.3113647,1.3552451,2.4519973,-0.6523131,-0.9246249,-0.14590736,0.44891307,-1.0745802,0.34929454,1.9191954,-1.8070642,-0.01668975,1.2454518,-1.07183,0.5314758,0.036590137,0.24578233
1,1.981113,-0.66582847,0.145791,0.08381278,0.50127506,0.11583963,-0.10087379,-1.7376156,0.1163626,-0.004496891,-0.19513926,1.5965108,0.836484,-1.0138019,-0.39761078,1.1746947,-1.0751536,0.38393697,0.4329608,-0.30833176,0.13110048,-0.60789627,-1.052236,-0.6804574,-0.57214576,-0.50312394,-2.4316516,1.2746886,1.1659303,1.6167899,-1.0071841,-1.0000503
2,0.24582425,-0.73997134,0.26038587,-0.50699955,-0.9249163,-0.7881522,-0.027900701,-0.044895235,-0.32089293,1.5509169,0.37118405,1.3586082,0.820771,0.8502842,-0.6474682,1.5147064,0.5987727,-1.3085288,-0.35289466,1.0370071,-0.7017492,-0.2577982,0.027889546,0.69629514,-1.1439991,1.929573,0.4646496,-0.7057232,-1.5783718,2.4978104,0.1368416,0.1382024
3,1.9215192,0.04570447,0.16556557,-0.9865345,1.7292324,0.52295613,-0.09932704,-0.5124335,-0.12338803,-1.2259487,-0.13057083,1.6886601,0.4180064,-0.22507666,-0.07471645,1.5341413,-1.1350602,0.82266074,-0.20945467,-0.068001755,0.18009174,0.3020572,-0.6571533,0.5759083,0.37102553,-0.69486296,-1.9056776,2.1186137,0.80842716,1.6864711,-0.91065055,-0.53105366
4,1.683242,-0.5730608,0.3310274,-0.51856434,0.7778387,0.13144168,-0.05600455,-1.471079,0.2040351,-0.4658653,-0.31280294,0.9130604,1.2347586,-0.5357821,-0.13836785,1.2648069,-1.6837356,0.2995561,0.21967417,-0.5231751,-0.09195334,0.042707127,-0.857789,-0.7993134,-0.5044551,-0.8677613,-2.5567257,2.1343808,1.1271093,1.0415595,-0.86649555,-0.71257186
5,1.8157047,-0.8971281,-0.015005461,-0.19061635,0.44190767,0.23016432,-0.478328,-1.8412839,0.62425584,-0.29179284,-0.23119086,1.4297906,1.2736529,-0.70179325,-0.15421541,1.2612499,-1.2537876,0.018453393,-0.14865132,-0.20302708,-0.25839454,0.41253278,-1.1482874,-1.1608912,-0.24190433,-0.41358423,-2.5072987,1.7574841,0.65425533,1.3601712,-0.45123,-0.80929905
6,0.34364536,-1.0141245,0.8706239,-0.9072572,-1.1538384,0.11432274,-0.22775881,-0.36224246,0.24164249,0.9273866,-0.03681066,1.558277,0.6068982,0.92402405,-0.3018297,1.8582089,0.51717824,-1.9131155,-0.03984353,0.08011358,-0.5346288,0.19287929,0.7032812,0.47759342,-0.71411145,1.6786894,1.1185853,-1.1588366,-1.6585417,2.0774102,0.4798879,0.3310688
7,0.05483733,-0.7501873,0.87684715,-1.3365015,-1.0083015,-0.019881811,-0.26852044,-0.3504988,0.17645235,1.077289,0.18574573,1.2753539,0.96946216,0.95470095,-0.2710348,1.6846964,0.4713987,-1.8542315,-0.34221756,0.49074447,-0.81234956,0.671209,0.70648396,0.35966474,-0.67745423,1.8102186,0.8512591,-1.0041113,-1.8157895,1.9793416,0.37016094,0.46869552
8,0.21363486,-0.889005,0.74186724,-1.0931671,-1.2967435,-0.1047974,-0.3825689,-0.004223184,-0.055301413,1.3648055,0.42114353,0.84985614,0.8748731,0.9969099,-0.29499695,1.4897662,0.19595212,-2.051744,-0.5931978,0.8193225,-1.0135454,0.052994773,0.4345618,0.3278552,-0.610012,2.1595454,0.6102246,-0.76056254,-1.8236408,1.8503456,0.22152887,0.48675388
9,1.079831,-0.56790733,1.4320269,0.03217624,-1.1951169,0.49917135,-0.785429,-0.14759266,0.97872543,0.054491572,-1.0936108,0.22187965,-0.08709129,1.5174484,-0.98538285,2.1074991,-0.5715568,-2.164978,-0.6770973,0.9816271,-0.9396504,-1.0089941,-0.12920387,0.4134904,-0.60931766,0.5828057,0.026136778,-0.69479764,0.34585246,2.1257563,0.13849506,-0.17643185
